# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
cell-detached outside-out single-channel recording evidence used in manual assertion	ECO:0007180	A type of cell-detached outside-out single-channel recording evidence that is used in a manual assertion.	
cut-open oocyte voltage clamp recording evidence used in manual assertion	ECO:0007181	A type of cut-open oocyte voltage clamp recording evidence that is used in a manual assertion.	
macropatch voltage clamp recording evidence used in manual assertion	ECO:0007182	A type of macropatch voltage clamp recording evidence that is used in a manual assertion.	
protein expression level evidence based on western blot used in manual assertion	ECO:0007183	A type of protein expression level evidence based on western blot that is used in a manual assertion.	
protein mass spectrometry evidence used in manual assertion	ECO:0007184	A type of protein mass spectrometry evidence that is used in a manual assertion.	
cross-streak test evidence used in manual assertion	ECO:0007185	A type of cross-streak test evidence that is used in a manual assertion.	
tethered cell assay evidence used in manual assertion	ECO:0007186	A type of tethered cell assay evidence that is used in a manual assertion.	
tumble frequency assay evidence used in manual assertion	ECO:0007187	A type of tumble frequency assay evidence that is used in a manual assertion.	
capillary assay evidence used in manual assertion	ECO:0007188	A type of capillary assay evidence that is used in a manual assertion.	
inference from experimental data evidence used in manual assertion	ECO:0007189	A type of inference from experimental data evidence that is used in a manual assertion.	
inference from phenotype manipulation evidence used in manual assertion	ECO:0007190	A type of inference from phenotype manipulation evidence that is used in a manual assertion.	
inference by association of genotype from phenotype used in manual assertion	ECO:0007191	A type of inference by association of genotype from phenotype that is used in a manual assertion.	
motility assay evidence used in manual assertion	ECO:0007192	A type of motility assay evidence that is used in a manual assertion.	
loss-of-function mutant phenotype evidence used in automatic assertion	ECO:0007193	A type of loss-of-function mutant phenotype evidence that is used in an automatic assertion.	
structural similarity evidence used in automatic assertion	ECO:0007194	A type of structural similarity evidence that is used in an automatic assertion.	
gain-of-function mutant phenotypic evidence used in automatic assertion	ECO:0007196	A type of gain-of-function mutant phenotypic evidence that is used in an automatic assertion.	gain-of-function mutant phenotype evidence used in automatic assertion
voucher specimen phenotypic analysis evidence used in automatic assertion	ECO:0007197	A type of voucher specimen phenotypic analysis evidence that is used in an automatic assertion.	voucher specimen analysis evidence used in automatic assertion
positional similarity evidence used in automatic assertion	ECO:0007198	A type of positional similarity evidence that is used in an automatic assertion.	
quantitative trait analysis evidence used in automatic assertion	ECO:0007199	A type of quantitative trait analysis evidence that is used in an automatic assertion.	
compositional similarity evidence used in automatic assertion	ECO:0007200	A type of compositional similarity evidence that is used in an automatic assertion.	
developmental similarity evidence used in automatic assertion	ECO:0007201	A type of developmental similarity evidence that is used in an automatic assertion.	
morphological similarity evidence used in automatic assertion	ECO:0007202	A type of morphological similarity evidence that is used in an automatic assertion.	
gene expression similarity evidence used in automatic assertion	ECO:0007203	A type of gene expression similarity evidence that is used in an automatic assertion.	
methylation-specific polymerase chain reaction evidence used in automatic assertion	ECO:0007204	A type of methylation-specific polymerase chain reaction evidence that is used in an automatic assertion.	
southern hybridization evidence used in automatic assertion	ECO:0007205	A type of southern hybridization evidence that is used in an automatic assertion.	
intermethylated site amplification evidence used in automatic assertion	ECO:0007206	A type of intermethylated site amplification evidence that is used in an automatic assertion.	
epitope-tagged protein immunolocalization evidence used in automatic assertion	ECO:0007207	A type of epitope-tagged protein immunolocalization evidence that is used in an automatic assertion.	
co-fractionation evidence used in automatic assertion	ECO:0007208	A type of co-fractionation evidence that is used in an automatic assertion.	
green fluorescent protein fusion protein localization evidence used in automatic assertion	ECO:0007210	A type of green fluorescent protein fusion protein localization evidence that is used in an automatic assertion.	
yellow fluorescent protein fusion protein localization evidence used in automatic assertion	ECO:0007211	A type of yellow fluorescent protein fusion protein localization evidence that is used in an automatic assertion.	
